inning,team,retroID,count,pitches,play
5,1,schwk001,30,BBBX,9/F
1,1,rizza001,32,BBBFFB,W
9,0,ramow001,30,BBBB,W
2,0,confm001,30,BBBB,W
5,0,vargj001,32,BBBCCFFFC,K
3,0,frazt001,31,BBBC1X,HR/78/F.1-H
9,0,ramow001,31,BBBCX,13/G-
8,1,rizza001,31,BBBSB,W.1-2
1,1,rizza001,31,BBBCB,W.1-2
2,1,russa002,30,BBBB,W.2-3;1-2
4,1,bryak001,30,BBBB,W
6,0,markn001,32,BBBCFX,13/G-
7,0,acunr001,32,BBBFCS,K
8,0,freef001,32,BBBSFFFFX,31/G
4,0,acunr001,31,BBBFB,W.1-2
9,0,swand001,30,BBBB,W
2,1,rizza001,32,BBBCCFS,K
8,1,bryak001,32,BBBCCFB,W
1,1,schwk001,32,BBBCCB,W
1,1,russa002,31,BBBCB,W
1,1,schwk001,30,BBBB,W.1-2
2,1,rizza001,32,BBBCTX,6/L
5,0,diaze005,32,BBBCFX,7/F
7,1,almoa002,30,BBBB,W
8,1,bryak001,30,BBBB,W
4,1,russa002,30,BBBB,W
6,1,russa002,32,BBBCFB,W.1-2
9,0,puigy001,30,BBBX,S9/G
1,1,schwk001,31,BBBCX,43/G
4,0,desca001,32,BBBCFX,S7/G
9,0,genns001,31,BBBCX,S8/G
9,0,winkj002,30,BBBB,W
3,1,maldm001,31,BBBC*B,W
5,1,rizza001,31,BBBFB,W
7,0,hosme001,30,BBBB,W
9,0,reyef001,30,BBB*B,W
5,0,urial001,30,BBBB,W
1,1,rizza001,30,BBBB,W
6,0,grany001,31,BBBCX,43/G
1,1,bryak001,30,BBBX,6/P
2,0,piscs001,30,BBBX,S9/F-.3-H
2,1,happi001,30,BBBB,W
7,0,crawb001,30,BBBB,W.1-2
7,0,longe001,32,BBBCFFX,63/G
3,0,dozib001,30,BBBB,W.2-3;1-2
4,1,kempt001,31,BBBCB,W
6,1,ryank002,32,BBBCCB,W
6,1,heywj001,31,BBBCB,W.1-2
7,0,dozib001,30,BBBB,W
8,0,turnt001,30,BBBB,W
9,0,kendh001,31,BBBCX,D7/L.1-H
2,0,cabra002,31,BBBCB,W
9,1,happi001,32,BBBCFFS,K
1,0,yelic001,31,BBBCX,13/G-
3,1,baezj001,32,BBBCFS,K
4,0,grany001,31,BBBCB,W.1-2
6,0,grany001,32,BBBCC1X,7/L+
1,0,yelic001,32,BBBCC*B,W
1,1,bryak001,31,BBBCX,S7/L
3,1,castn001,30,BBBB,W
2,1,russa002,30,BBBB,W.1-2
3,1,baezj001,30,BBBB,W
3,1,bryak001,30,BBBB,W
5,0,yelic001,32,BBBCSS,K
7,0,voged001,31,BBBSB,W
1,1,schwk001,31,BBBCB,W
1,1,rizza001,30,BBBX,63/G
5,1,rizza001,30,BBBB,W
3,1,boted002,30,BBBB,W
3,1,bryak001,32,BBBCFB,W.1-2
6,1,hoern001,31,BBBCB,W
8,1,lucrj001,30,BBBB,W.1-2
8,0,fraza001,32,BBBCFX,6/P
2,1,rizza001,30,BBBB,W
8,1,lucrj001,31,BBBCX,HR/78/F
2,0,lorem002,30,BBBB,W
3,0,suare001,30,BBBB,W.2-3;1-2
3,1,bryak001,32,BBBCFB,W
6,1,heywj001,32,BBBCFX,D8/L+.2-H;1-3
1,1,zobrb001,30,BBBB,W
7,0,blana002,32,BBBCCX,7/F/SF.3-H;2-3
9,1,bryak001,31,BBBCX,63/G
5,0,wongk001,32,BBBCFFX,31/G
9,1,schwk001,32,BBBSSFS,K
7,1,castn001,30,BBBB,W.2-3;1-2
8,0,dejop001,30,BBBB,W.1-2
9,1,heywj001,32,BBBCFFX,6/P
1,1,schwk001,31,BBBCB,W.2-3;1-2
1,1,carav001,32,BBBCFFB,W.3-H;2-3;1-2
1,1,hoern001,31,BBBFX,9/F
5,0,dejop001,31,BBBCB,W
5,0,carpm002,32,BBBCSFC,K
7,0,incie001,31,BBBCX,43/G
8,0,albio001,31,BBBCX,7/F
5,0,incie001,32,BBBCFB,W
2,1,franm004,32,BBBCFS,K
3,1,hoskr001,30,BBBB,W
6,0,albio001,32,BBBCCB,W
7,0,donaj001,31,BBBCX,8/F+
4,0,cavej001,31,BBBCB,W
5,1,hernc005,30,BBBB,W
6,1,harpb003,32,BBBCCFS,K
7,1,hoskr001,32,BBBCFFFX,S7/G.3-H;2-H;1-H
5,1,franm004,31,BBBSX,3/P3F
9,0,astuw001,32,BBBSFB,W
2,0,sotoj001,32,BBBCCX,D9/L+
6,1,harpb003,30,BBBX,43/G
6,1,realj001,31,BBBCB,W
4,1,franm004,31,BBBSX,S8/L
4,1,hoskr001,32,BBBCFX,13/G-
1,1,mccua001,31,BBBCB,W
5,0,hellj001,31,BBBCB,W
5,1,mccua001,31,BBBCB,W.2-3;1-2
1,0,canor001,32,BBBC1TF1B,W.1-2
3,0,alonp001,30,BBBB,W
6,1,mccua001,30,BBBB,W
10,1,franm004,31,BBBSX,S7/L
5,0,alonp001,30,BBB*B,W
6,1,hernc005,31,BBBCX,D9/G+.2-H
8,1,hernc005,30,BBBB,W.1-2
1,1,harpb003,32,BBBCSFB,W
4,1,harpb003,31,BBBCX,9/F
1,1,harpb003,31,BBBCX,8/F
4,1,hoskr001,30,BBBB,W
6,1,hoskr001,31,BBBCB,W.1-2
1,1,harpb003,31,BBBCB,W
5,1,hernc005,32,BBBCCB,W.1-2
5,1,arrij001,32,BBBCSFX,S6/G.3-H;1-3
4,0,candj002,31,BBBCB,W
1,1,harpb003,30,BBBX,9/L
1,0,difow001,30,BBBB,W
6,1,hoskr001,31,BBBCX,D7/L+.2-H;1-H
8,1,harpb003,32,BBBCSX,9/F
1,0,mousm001,32,BBBCF2FX,4/P
4,0,grany001,32,BBBSFX,526(3)5(2)/GDP.1-2;B-1
5,1,realj001,30,BBBB,W
6,1,mccua001,32,BBBCSX,63/G
1,1,harpb003,31,BBBC1B,W.1-2
3,1,harpb003,30,BBBB,W
5,0,aguij001,31,BBBCB,W
8,0,grany001,31,BBBCX,S9/G.1-2
3,0,gonzg003,32,BBBCCB,W
6,0,grany001,30,BBBB,W
5,0,hiurk001,32,BBBCSS,K
7,0,arcio002,31,BBBCB,W
8,0,thame001,30,BBBB,W.3-H;2-3;1-2
2,0,tapir001,31,BBBCB,W
7,0,woltt001,32,BBBCFX,T9/F
1,1,hernc005,32,BBBCCX,8/F
2,0,mcmar001,32,BBBCSFX,7/F
7,1,kings001,30,BBBB,W
2,1,hernc005,32,BBBCCC,K
4,0,carpm002,32,BBBCCFX,9/L
8,0,goldp001,31,BBBCX,9/L
1,1,mccua001,30,BBBB,W
2,0,wietm001,32,BBBF1CB,W.1-2
3,1,mccua001,31,BBBCB,W
5,1,realj001,30,BBBB,W
7,0,martj008,31,BBBCX,S8/G+
6,0,dejop001,30,BBBX,8/F
6,1,seguj002,31,BBBC*B,W
8,1,mccua001,31,BBBCB,W
6,1,hoskr001,31,BBBCB,W
1,1,harpb003,30,BBBB,W
4,0,dietd001,32,BBBCSS,K
7,0,winkj002,32,BBBCCX,31/G
4,1,brucj001,31,BBBCX,63/G
1,1,hoskr001,30,BBBB,W
2,0,clart003,32,BBBCFS,K
1,1,seguj002,31,BBBCX,D7/L
3,0,kellc002,30,BBBB,W
4,0,ahmen001,30,BBBB,W
4,1,harpb003,31,BBBCB,W
7,1,brucj001,30,BBBB,W
4,1,hoskr001,31,BBBCX,9/F
5,1,hoskr001,31,BBBCX,D7/G+
1,1,harpb003,31,BBBCB,W
2,0,puelc001,32,BBBCFS,K
8,1,hoskr001,30,BBBB,W
3,0,ramih004,30,BBBB,W
4,0,riddj001,31,BBBCB,W.1-2
8,0,rojam002,30,BBBB,W
8,1,hoskr001,30,BBBB,W.1-2
1,1,realj001,30,BBBB,W
5,1,quinr003,32,BBBCCFFB,W
5,1,franm004,30,BBBX,HR/8/F.1-H
2,1,brucj001,32,BBBCFFS,K
5,1,seguj002,32,BBBCCFX,63/G
7,0,smitd008,32,BBBCFFS,K
1,1,harpb003,30,BBBB,W
2,0,frazt001,31,BBBFX,53/G
8,0,lagaj001,30,BBBB,W
2,0,smitd008,31,BBBCX,43/G
3,0,rosaa003,32,BBBCFFX,E5/TH/G.B-2
4,0,frazt001,31,BBBCX,53/G
6,1,harpb003,31,BBBTX,HR/8/F
8,1,hoskr001,31,BBBCB,W
2,0,sotoj001,31,BBBCB,W
7,1,kings001,32,BBBCCS,K
9,0,turnt001,31,BBBCX,S7/L.1-2
4,0,dozib001,31,BBBCB,W
2,0,dozib001,30,BBBH,HP
3,0,turnt001,31,BBBC*B,W
1,1,realj001,30,BBBB,W.1-2
8,0,beatm001,30,BBBB,W.1-2
1,1,harpb003,32,BBBCF*B,W
2,0,seagc001,30,BBBB,W
2,1,kings001,32,BBBCCB,W
4,0,polla001,30,BBBX,HR/78/F
4,0,herne001,30,BBBB,W.1-2
6,0,herne001,31,BBBCB,W
7,0,seagc001,32,BBBCFB,W
1,1,harpb003,31,BBBCX,7/F
5,0,incie001,31,BBBCB,W.1-2
1,0,freef001,30,BBBB,W
5,1,hoskr001,30,BBBX,4/P/IF
5,1,realj001,32,BBBCFX,HR/78/F.3-H;2-H;1-H
7,1,harpb003,32,BBBFCB,W
4,0,sandp001,32,BBBCCFFFB,W
4,0,crawb001,30,BBBB,W.1-2
7,0,vogts001,32,BBBCFX,S7/L
3,0,garcl004,32,BBBCSX,53/G
6,1,hoskr001,31,BBBCB,W.1-2
7,0,mccaj001,31,BBBCB,W
9,0,mccaj001,32,BBBCFFFFFS,K
10,1,quinr003,32,BBBCFC,K
14,0,mccaj001,30,BBBX,S7/L.2XH(72/TH);B-2(TH)
4,0,garcl004,30,BBBB,W
6,0,goinr001,31,BBBCB,W
4,1,harpb003,30,BBBB,W
6,1,harpb003,30,BBBB,W
4,1,hernc005,30,BBB*B,W
5,0,happi001,32,BBBCCB,W
9,0,bryak001,32,BBBCFFB,W.1-2
1,0,mejif001,31,BBBFB,W
6,1,dickc002,32,BBBFFFX,5/P-
5,1,hoskr001,30,BBBB,W
6,1,hernc005,20,BBB,WP.2-3
6,1,hernc005,31,BBB.FX,9/F
